disease,symptoms,precautions,specialist,urgency
Otitis Externa (Swimmer's Ear),"ear pain (worse with pulling earlobe), itching, discharge, redness, hearing loss","Topical antibiotic/steroid drops, keep ear dry (avoid swimming), acetic acid, wick if swollen",Otolaryngologist,Low
Otitis Media,"ear pain, fever, irritability, hearing loss, ear drainage","Antibiotics if bacterial, pain relief, observation, avoid smoke",Otolaryngologist,Medium
Otitis Media (Acute),"ear pain, fever, irritability, hearing loss, ear drainage","Antibiotics if bacterial, pain relief, observation, avoid smoke",Otolaryngologist,Medium
Ovarian Cancer,"bloating, pelvic pain, early satiety, urinary urgency, fatigue","Surgery, chemotherapy, genetic counseling, CA-125 monitoring",Oncologist,High
Ovarian Cyst,"pelvic pain, bloating, irregular periods, nausea, pain during intercourse","Watchful waiting, hormonal contraceptives, surgery if large",Gynecologist,Low
Ovarian Cyst (Functional),"pelvic pain, bloating, irregular periods, nausea, pain during intercourse","Watchful waiting, hormonal contraceptives, surgery if large",Gynecologist,Low
Ovarian Torsion,"sudden severe lower abdominal pain (unilateral), nausea, vomiting, palpable adnexal mass, fever","Emergency surgery (detorsion ± oophorectomy), preserve ovary if viable, pain control",Gynecologist,High
POEMS Syndrome,"polyneuropathy, organomegaly, endocrinopathy, monoclonal gammopathy, skin changes (hyperpigmentation, hypertrichosis)","Treat underlying plasmacytoma (radiation, chemo), supportive care (physical therapy, hormones)",Hematologist,High
PTSD,"flashbacks, nightmares, hypervigilance, avoidance of triggers, negative mood","Trauma-focused CBT, EMDR, SSRIs, grounding techniques, support groups",Psychiatrist,Medium
Paget's Disease of Bone,"bone pain, enlarged bones, fractures, bowed limbs, headache","Bisphosphonates, analgesics, physical therapy, orthopedic surgery if needed",Rheumatologist,Medium
Paget's Disease of Bone (Extramammary),"bone pain, enlarged bones, fractures, bowed limbs, headache","Bisphosphonates, analgesics, physical therapy, orthopedic surgery if needed",Rheumatologist,Medium
Paget's Disease of the Nipple (Breast),"scaly, red, eczematous lesion on nipple, itching, burning, nipple discharge, ulceration","Mastectomy or wide excision (if early), radiation, treat underlying breast cancer",Oncologist,High
Pancreatic Cancer,"epigastric pain radiating to back, weight loss, jaundice (painless), nausea, new-onset diabetes","Surgical resection (Whipple) if localized, chemotherapy (FOLFIRINOX, gemcitabine), palliative care",Oncologist,High
Pancreatitis,"severe epigastric pain radiating to back, nausea, vomiting, fever, tender abdomen","IV fluids, fasting, pain control, avoid alcohol",Gastroenterologist,High
Pancreatitis (Acute),"severe epigastric pain radiating to back, nausea, vomiting, fever, tender abdomen","IV fluids, fasting, pain control, avoid alcohol",Gastroenterologist,High
Pancreatitis (Chronic),"recurrent abdominal pain, steatorrhea (fatty stools), weight loss, diabetes, malabsorption","Pain management, pancreatic enzymes, insulin for diabetes, avoid alcohol, surgery for refractory pain",Gastroenterologist,Medium
Panic Disorder,"recurrent panic attacks, palpitations, shortness of breath, fear of dying, avoidance behavior","CBT, SSRIs, benzodiazepines short-term, breathing exercises, psychoeducation",Psychiatrist,Medium
Paragonimiasis,"cough, hemoptysis, chest pain, fever (mimics TB), subcutaneous nodules","Praziquantel or triclabendazole, avoid raw crustaceans, sputum exam",Infectious Disease Specialist,Medium
Parainfluenza,"croup (barking cough), fever, hoarseness, stridor, rhinitis","Supportive care, humidified oxygen, epinephrine for severe croup, corticosteroids",Pediatrician,Medium
Parainfluenza Virus (Croup),"croup (barking cough), fever, hoarseness, stridor, rhinitis","Supportive care, humidified oxygen, epinephrine for severe croup, corticosteroids",Pediatrician,Medium
Paraneoplastic Pemphigus,"painful mucosal erosions (oral, conjunctival), polymorphous skin lesions (blisters, erosions), underlying malignancy","Treat underlying cancer, immunosuppression (corticosteroids, rituximab), wound care",Dermatologist,High
Paratyphoid Fever,"milder than typhoid, fever, headache, diarrhea, rose spots","Fluoroquinolones, supportive care, food/water hygiene, similar prevention",Infectious Disease Specialist,Medium
Parkinson's Disease,"tremor, bradykinesia, rigidity, balance problems, masked face","Medications (levodopa), physical therapy, fall prevention, speech therapy",Neurologist,Medium
Paronychia (Acute),"redness, swelling, pain around nail, pus collection, warmth, fluctuance","Warm soaks, antibiotics (if bacterial), incision and drainage, avoid nail biting",Dermatologist,Low
Paroxysmal Nocturnal Hemoglobinuria,"dark urine (morning), fatigue, abdominal pain, dysphagia, thrombosis (unusual sites), pancytopenia","Eculizumab (C5 inhibitor), pegcetacoplan, supportive care, vaccination against meningococcus",Hematologist,High
Patau Syndrome (Trisomy 13),"cleft lip/palate, polydactyly (extra digits), holoprosencephaly, microphthalmia, rocker-bottom feet, severe intellectual disability","Supportive care, treat seizures, feeding difficulties, palliative care, genetic counseling",Geneticist,High
Patent Ductus Arteriosus (PDA),"continuous murmur, bounding pulses, widened pulse pressure, tachypnea, poor growth (infants)","Indomethacin or ibuprofen (neonates), surgical or catheter closure, diuretics for heart failure",Cardiologist,Medium
Pearson Syndrome,"refractory sideroblastic anemia, pancreatic exocrine dysfunction, metabolic acidosis, failure to thrive, hypotonia","Supportive care (transfusions), pancreatic enzymes, avoidance of mitochondrial toxins, genetic counseling",Hematologist,High
Pelvic Inflammatory Disease,"lower abdominal pain, fever, abnormal discharge, dyspareunia, irregular bleeding","Antibiotics, treat partners, avoid douching, hospitalization if severe",Gynecologist,High
Pelvic Inflammatory Disease (PID),"lower abdominal pain, fever, abnormal discharge, dyspareunia, irregular bleeding","Antibiotics, treat partners, avoid douching, hospitalization if severe",Gynecologist,High
Pemphigus Vulgaris,"flaccid bullae, mucosal erosions (oral, genital), positive Nikolsky sign, crusting","Corticosteroids, rituximab, immunosuppressants, wound care, infection prevention",Dermatologist,High
Peptic Ulcer Disease,"burning epigastric pain, bloating, nausea, dark stools, weight loss","PPIs, avoid NSAIDs, H. pylori treatment, avoid spicy food",Gastroenterologist,Medium
Pericarditis (Acute),"sharp chest pain (worse with lying down, better leaning forward), fever, pericardial friction rub, shortness of breath","NSAIDs, colchicine, treat underlying cause (viral, uremia), pericardiocentesis if tamponade",Cardiologist,Medium
Peripartum Cardiomyopathy,"shortness of breath, fatigue, leg swelling (late pregnancy or postpartum), palpitations, orthopnea","Heart failure meds (diuretics, beta-blockers), bromocriptine (if prolactin mediated), avoid pregnancy, possible transplant",Cardiologist,High
Peripheral Arterial Disease,"claudication (leg pain with walking), cold feet, hair loss on toes, non-healing ulcers, weak pulses","Smoking cessation, antiplatelets (aspirin, clopidogrel), cilostazol, exercise, revascularization",Vascular Surgeon,Medium
Peritonitis,"severe abdominal pain, abdominal rigidity, distension, fever, nausea","Emergency surgery, broad-spectrum antibiotics, IV fluids, ICU care",General Surgeon,High
Peritonitis (Spontaneous Bacterial),"abdominal pain (diffuse), tenderness, distension, fever, altered mental status (in cirrhotics)","IV antibiotics (third-generation cephalosporin), albumin infusion (if cirrhotic), paracentesis",Gastroenterologist,High
Pernicious Anemia,"fatigue, pallor, paresthesia, gait imbalance (subacute combined degeneration), beefy red tongue","Vitamin B12 injections (IM), lifelong replacement, treat neurological symptoms",Hematologist,Medium
Pertussis (Whooping Cough),"severe coughing fits, whoop sound, post-tussive vomiting, apnea in infants, fever","Antibiotics (azithromycin), isolation, vaccination (DTaP), supportive",Infectious Disease Specialist,High
Peyronie's Disease,"curved penis during erection, painful erections, palpable plaque, penile deformity, erectile dysfunction","Observation (mild), collagenase injections (xiaflex), traction devices, surgery for severe curvature",Urologist,Medium
Pharyngitis,"sore throat, pain with swallowing, fever, red tonsils, exudates","Rapid strep test, antibiotics if strep, warm fluids, rest",General Practitioner,Medium
Phenylketonuria,"intellectual disability, microcephary, seizures, light skin/blue eyes, musty odor","Strict low-phenylalanine diet, sapropterin, monitor blood levels, avoid high-protein foods",Geneticist,High
Phenylketonuria (PKU),"intellectual disability, microcephaly, seizures, light skin/blue eyes, musty odor","Strict low-phenylalanine diet, sapropterin, monitor blood levels, avoid high-protein foods",Geneticist,High
Pheochromocytoma,"paroxysmal hypertension, severe headache, palpitations, sweating, pallor, tachycardia","Surgical resection (alpha-blockers first, then beta-blockers), avoid triggers (stress, certain foods), lifelong monitoring",Endocrinologist,High
Phlebitis (Superficial),"redness, tenderness, palpable cord along vein, warmth, swelling","Warm compresses, NSAIDs, compression stockings, avoid prolonged IV lines",General Practitioner,Low
Phlegmasia Cerulea Dolens,"severe leg swelling, blue discoloration, pain, palpable cord, venous gangrene (rare)","Emergency anticoagulation, thrombectomy/thrombolysis, fasciotomy if compartment syndrome, treat underlying DVT",Vascular Surgeon,High
Phosphorus Poisoning (White),"nausea, vomiting (garlic odor), abdominal pain, jaundice, liver necrosis, multi-organ failure","Gastric lavage, supportive care, treat liver failure, avoid ingestion (rat poison)",Toxicologist,High
Photokeratitis (Snow Blindness),"eye pain, tearing, redness, photophobia, gritty sensation (after UV exposure)","Lubricating drops, cycloplegics, dark glasses, avoid further UV exposure",Ophthalmologist,Low
Pica,"persistent eating of non-nutritive substances (dirt, clay, paper, ice), abdominal pain, anemia, lead toxicity","Behavioral therapy, treat underlying deficiency (iron, zinc), reduce access, psychiatric evaluation",General Practitioner,Medium
Pilonidal Cyst,"painful swelling (tailbone area), redness, drainage of pus/foul odor, sinus tract, fever","Incision and drainage (acute), surgical excision (definitive), hair removal, good hygiene",General Surgeon,Medium
Pityriasis Rosea,"single herald patch (oval, scaly), then multiple smaller lesions (Christmas tree pattern on back), mild itching","Symptomatic care (antihistamines, topical steroids), avoid overheating, usually self-limited (6-8 weeks)",Dermatologist,Low
Placenta Previa,"painless bright red vaginal bleeding (third trimester), bleeding after intercourse, abnormal fetal lie, uterine irritability","Pelvic rest, hospitalization if bleeding, C-section delivery, avoid digital exam",Obstetrician,High
Plague,"painful lymphadenitis (bubo), fever, pneumonia, sepsis (black death)","Streptomycin or gentamicin, isolation, doxycycline prophylaxis for contacts, supportive care",Infectious Disease Specialist,High
Plague (Bubonic),"painful lymphadenitis (bubo), fever, pneumonia (pneumonic), sepsis (black death)","Streptomycin or gentamicin, isolation, doxycycline prophylaxis for contacts, supportive care",Infectious Disease Specialist,High
Plantar Fasciitis,"heel pain (worse with first steps in morning), sharp pain, tenderness at heel, pain after prolonged standing","Stretching exercises, orthotics, night splint, corticosteroid injection, surgery if refractory",Orthopedist,Low
Plasmodium vivax Malaria (Relapsing),"fever (every 48 hours), chills, sweats, headache, relapse after months due to hypnozoites","Chloroquine (if sensitive) plus primaquine (for hypnozoites), G6PD testing before primaquine",Infectious Disease Specialist,High
Platelet Storage Pool Defect,"easy bruising, bleeding (mucocutaneous), epistaxis, menorrhagia, prolonged bleeding time","Avoid aspirin, desmopressin (DDAVP) for bleeding, platelet transfusion if severe, treat underlying cause",Hematologist,Medium
Pleural Effusion (Malignant),"shortness of breath, chest pain, dry cough, decreased breath sounds, weight loss","Therapeutic thoracentesis, pleurodesis (talc), indwelling pleural catheter, treat underlying cancer",Pulmonologist,High
Pneumocystis jirovecii Pneumonia (PCP),"dry cough, progressive dyspnea, fever, hypoxemia (worse with exertion), night sweats (HIV patients)","TMP-SMX (high dose), corticosteroids (if hypoxic), treat underlying HIV, prophylaxis when CD4<200",Infectious Disease Specialist,High
Pneumonia,"productive cough, fever, chills, shortness of breath, chest pain","Antibiotics, rest, hydration, hospitalization if severe",Pulmonologist,High
Pneumonia (Community-Acquired),"productive cough, fever, chills, shortness of breath, chest pain","Antibiotics, rest, hydration, hospitalization if severe",Pulmonologist,High
Pneumonia (Viral),"dry cough, fever, myalgia, headache, shortness of breath, wheezing","Supportive care, antivirals (oseltamivir for influenza), avoid antibiotics unless secondary bacterial",Pulmonologist,Medium
Polio,"flu-like then asymmetric paralysis, muscle pain, fever, headache, loss of reflexes","Vaccination (IPV/OPV), supportive care, physical therapy, respiratory support",Infectious Disease Specialist,High
Polio (Poliomyelitis),"flu-like then asymmetric paralysis, muscle pain, fever, headache, loss of reflexes","Vaccination (IPV/OPV), supportive care, physical therapy, respiratory support",Infectious Disease Specialist,High
Polyarteritis Nodosa,"livedo reticularis, mononeuritis multiplex, hypertension, abdominal pain, testicular pain","Corticosteroids, cyclophosphamide, antiviral if HBV-associated, avoid unnecessary biopsies",Rheumatologist,High
Polycystic Kidney Disease (ADPKD),"flank pain, hematuria, hypertension, abdominal fullness, kidney failure progression","BP control (ACE inhibitors), tolvaptan (slow cyst growth), treat infections, avoid NSAIDs",Nephrologist,High
Polycystic Ovary Syndrome (PCOS),"irregular periods, excess hair growth, acne, weight gain, infertility","Lifestyle changes, metformin, hormonal contraceptives, anti-androgens",Gynecologist,Medium
Polycythemia Vera,"headache, dizziness, itching (after hot bath), ruddy complexion, splenomegaly","Phlebotomy, low-dose aspirin, hydroxyurea, avoid smoking, hydrate",Hematologist,Medium
Polymyalgia Rheumatica,"shoulder/hip girdle pain and stiffness (morning), fatigue, low-grade fever, elevated ESR/CRP","Low-dose corticosteroids (prednisone), rapid response typical, monitor for giant cell arteritis",Rheumatologist,Medium
Polymyositis,"proximal muscle weakness (hips/shoulders), dysphagia, myalgias, fatigue, respiratory involvement","Corticosteroids, immunosuppressants, physical therapy, monitor for lung disease",Rheumatologist,High
Pompe Disease (Glycogen Storage Type II),"progressive muscle weakness (proximal, respiratory), cardiomegaly (infantile form), delayed motor milestones, feeding difficulties","Enzyme replacement therapy (alglucosidase alfa), respiratory support, physical therapy, genetic counseling",Neurologist,High
Porphyria Cutanea Tarda,"blistering skin on sun-exposed areas, hypertrichosis, hyperpigmentation, scarring, dark urine (pink/red)","Phlebotomy, low-dose hydroxychloroquine, avoid alcohol/estrogen, sun protection",Dermatologist,Medium
Portal Hypertension (Cirrhosis),"ascites, variceal bleeding (hematemesis), splenomegaly, caput medusae, encephalopathy","Treat underlying cirrhosis, beta-blockers (propranolol), banding of varices, TIPS, diuretics",Hepatologist,High
Post-traumatic Stress Disorder (PTSD),"flashbacks, nightmares, hypervigilance, avoidance of triggers, negative mood","Trauma-focused CBT, EMDR, SSRIs, grounding techniques, support groups",Psychiatrist,Medium
Postherpetic Neuralgia,"persistent pain (burning, shooting) after shingles rash heals, allodynia, itching, numbness","Gabapentin/pregabalin, tricyclic antidepressants (nortriptyline), lidocaine patch, capsaicin",Pain Specialist,Medium
Postpartum Depression,"sadness, tearfulness, loss of interest (baby), sleep disturbance, anxiety, guilt, intrusive thoughts","CBT, SSRIs (sertraline), support groups, sleep hygiene, safety plan (mother and baby)",Psychiatrist,Medium
Postpartum Hemorrhage,"excessive vaginal bleeding after delivery (soaking pad/hour), tachycardia, hypotension, pallor, altered consciousness","Uterine massage, uterotonics (oxytocin, misoprostol), Bakri balloon, surgery (hysterectomy as last resort)",Obstetrician,High
Prader-Willi Syndrome,"infantile hypotonia, poor feeding, then hyperphagia (obsessive eating), obesity, short stature, intellectual disability, hypogonadism","Growth hormone, strict food supervision, behavior therapy, treat sleep apnea",Geneticist,Medium
Pre-eclampsia,"hypertension (after 20 weeks), proteinuria, headache, vision changes, epigastric pain, edema","Delivery (definitive), BP control (labetalol, nifedipine), magnesium sulfate for seizure prophylaxis",Obstetrician,High
Premature Ovarian Insufficiency,"irregular periods (or absent) before 40, hot flashes, night sweats, infertility, vaginal dryness","Estrogen + progesterone (HRT), calcium/vitamin D, fertility options (egg donation), treat symptoms",Gynecologist,Medium
Primary Biliary Cholangitis (Cirrhosis),"fatigue, pruritus (worst at night), dry eyes/mouth, jaundice (late), xanthomas","Ursodeoxycholic acid (UDCA), obeticholic acid, treat pruritus (rifampin, antihistamines), liver transplant",Hepatologist,High
Primary Hyperoxaluria,"recurrent calcium oxalate kidney stones (childhood), nephrocalcinosis, hematuria, progressive kidney failure, oxalosis","Hydration, pyridoxine (for type I), liver-kidney transplant, avoid oxalate-rich foods",Nephrologist,High
Primary Sclerosing Cholangitis,"fatigue, pruritus, jaundice, right upper quadrant pain, recurrent cholangitis, associated with IBD","Ursodeoxycholic acid (uncertain benefit), endoscopic dilation of dominant strictures, liver transplant",Hepatologist,High
Progeria (Hutchinson-Gilford),"rapid aging (short stature, alopecia, scleroderma-like skin, beaked nose), joint contractures, atherosclerosis (early death)","Lonafarnib (farnesyltransferase inhibitor), treat cardiovascular risk, physical therapy, supportive care",Geneticist,High
Progressive Supranuclear Palsy,"postural instability (falls backward), vertical gaze palsy (especially downward), dysarthria, dysphagia, cognitive decline","Supportive care (physical therapy, speech therapy), treat depression, levodopa often ineffective",Neurologist,High
Prolactinoma,"galactorrhea (milky nipple discharge), irregular menses (women), erectile dysfunction (men), infertility, headache, visual field defects","Dopamine agonists (cabergoline, bromocriptine), transsphenoidal surgery (if resistant), treat hypogonadism",Endocrinologist,Medium
Prostate Cancer,"difficulty urinating, blood in urine, erectile dysfunction, bone pain, weight loss","PSA screening, biopsy, radiation, surgery, hormone therapy",Urologist,High
Prostatitis (Bacterial),"dysuria, frequency, pelvic/perineal pain, fever, chills, tender prostate on exam","Antibiotics (fluoroquinolones or TMP-SMX for 4-6 weeks), alpha-blockers, NSAIDs, avoid urethral instrumentation",Urologist,Medium
Pseudogout (CPPD Disease),"acute joint pain/swelling (knee, wrist), redness, warmth, fever, chondrocalcinosis on X-ray","NSAIDs, colchicine, joint aspiration (steroid injection), treat underlying hyperparathyroidism",Rheumatologist,Medium
Psittacosis,"fever, severe headache, dry cough, myalgia, relative bradycardia","Doxycycline, tetracycline, isolate birds, supportive care",Infectious Disease Specialist,Medium
Psoriasis,"red plaques with silvery scales, itching, nail pitting, joint pain","Topical steroids, phototherapy, biologics, moisturize",Dermatologist,Medium
Pulmonary Alveolar Proteinosis,"progressive shortness of breath, dry cough, fatigue, hypoxia, clubbing","Whole-lung lavage, GM-CSF (inhaled or subcutaneous), treat infections, avoid immunosuppression",Pulmonologist,High
Pulmonary Arterial Hypertension (PAH),"shortness of breath (exertion), fatigue, syncope, chest pain, edema, right heart failure","Vasodilators (endothelin antagonists, phosphodiesterase-5 inhibitors, prostacyclins), oxygen, diuretics",Pulmonologist,High
Pulmonary Embolism,"sudden shortness of breath, chest pain, rapid pulse, cough with blood, leg swelling","Emergency care, anticoagulation, compression stockings, mobility",Emergency Physician,High
Pulmonary Nocardiosis,"chronic productive cough, fever, night sweats, weight loss, chest pain (immunocompromised)","TMP-SMX (IV then oral) for months, surgical drainage of abscesses, treat underlying disease",Infectious Disease Specialist,High
Purpura (Henoch-Schonlein),"palpable purpura (lower extremities), abdominal pain, arthritis, renal involvement (hematuria)","Supportive care, corticosteroids for severe symptoms, treat underlying infection",Rheumatologist,Medium
Pyelonephritis (Acute),"fever, chills, flank pain, dysuria, frequency, nausea, vomiting","IV antibiotics (ceftriaxone, gentamicin) then oral, hydration, treat underlying UTI",Urologist,High
Pyoderma Gangrenosum,"painful, rapidly progressing ulcer (purple border), necrotic base, fever, joint pain (associated with IBD, arthritis)","Systemic corticosteroids (prednisone), cyclosporine, topical tacrolimus, wound care, treat underlying disease",Dermatologist,High
Q Fever,"high fever, severe headache, atypical pneumonia, hepatitis, chronic endocarditis","Doxycycline, hydroxychloroquine for chronic, avoid contact with animals (sheep/goats)",Infectious Disease Specialist,Medium
Rabies,"anxiety, agitation, hydrophobia, paralysis, confusion","Post-exposure prophylaxis immediately, wash wound, avoid wildlife, vaccinate pets",Infectious Disease Specialist,High
Rash,"itchy rash, red patches, skin irritation, scaling, blisters, hives, redness, swelling, inflamed skin, allergic reaction, vesicles, pustules, urticaria, burning sensation, skin sensitivity","Identify cause: antihistamines for allergies, avoid triggers, cool compresses, topical steroids if needed, maintain hygiene",Dermatologist,Medium
Raynaud's Phenomenon,"fingers/toes turn white, blue, then red (cold or stress), numbness, tingling, pain","Keep warm, avoid triggers (cold, stress), calcium channel blockers (nifedipine), treat underlying autoimmune",Rheumatologist,Low
Reactive Arthritis (Reiter's),"urethritis, conjunctivitis, arthritis (asymmetric, lower limbs), circinate balanitis, keratoderma blennorrhagicum","NSAIDs, antibiotics for triggering infection, sulfasalazine or TNF inhibitors for chronic",Rheumatologist,Medium
Renal Cell Carcinoma (Kidney Cancer),"hematuria (gross or microscopic), flank pain, palpable mass, weight loss, fever","Partial or radical nephrectomy, targeted therapy (sunitinib, pazopanib), immunotherapy, ablation",Urologist,High
Respiratory Acidosis,"drowsiness, headache, confusion, rapid breathing, tremor","Improve ventilation (BiPAP, intubation), treat underlying COPD/pneumonia, bronchodilators, oxygen",Pulmonologist,High
Respiratory Alkalosis,"lightheadedness, perioral tingling, palpitations, chest tightness, tetany","Breathing into a bag, treat hyperventilation cause (anxiety, pain), correct hypoxia",General Practitioner,Low
Respiratory Syncytial Virus (RSV),"runny nose, cough, wheezing, fever, apnea in infants","Supportive care, palivizumab for high-risk infants, hydration, oxygen if needed",Pediatrician,High
Restless Legs Syndrome,"urge to move legs, worse at rest, evening worsening, relief with movement, sleep disturbance","Iron supplementation if deficient, dopamine agonists, avoid caffeine, leg massage",Neurologist,Low
Retinal Detachment,"sudden floaters, light flashes, shadow in vision, curtain over visual field, blurred vision","Emergency surgery, face positioning, avoid eye rubbing, prompt evaluation",Ophthalmologist,High
Retinitis Pigmentosa,"night blindness (first symptom), loss of peripheral vision (tunnel vision), central vision loss later, photophobia","Vitamin A palmitate (controversial), low vision aids, genetic counseling, treat cataracts",Ophthalmologist,Medium
Retinoblastoma (Childhood),"white pupil (leukocoria) in flash photo, crossed eyes (strabismus), eye pain, redness, poor vision","Chemotherapy (systemic or intra-arterial), laser therapy, cryotherapy, enucleation (if advanced)",Oncologist,High
Retroperitoneal Fibrosis,"dull flank or back pain, weight loss, malaise, signs of ureteral obstruction (anuria, renal failure)","Corticosteroids (first-line), tamoxifen, ureteral stenting, treat underlying malignancy",Nephrologist,Medium
Rett Syndrome,"loss of purposeful hand movements (replaced by hand-wringing), deceleration of head growth, seizures, loss of speech (after normal early development)","Supportive care (physical, occupational therapy), treat seizures, communication aids, genetic counseling",Neurologist,High
Reye's Syndrome,"vomiting, lethargy, confusion, seizures, coma (after viral illness with aspirin use)","Avoid aspirin in children, supportive care (ICP monitoring, IV fluids), treat hypoglycemia",Emergency Physician,High
Rhabdomyolysis,"muscle pain (diffuse), weakness, dark urine (tea-colored), swelling, elevated CK","IV fluids (aggressive), correct electrolytes (especially potassium, calcium), treat underlying cause (trauma, statins)",Nephrologist,High
Rheumatic Fever,"arthritis, carditis, chorea, subcutaneous nodules, erythema marginatum","Penicillin prophylaxis, anti-inflammatory, bed rest, manage heart failure",Cardiologist,High
Rheumatoid Arthritis,"joint pain/swelling, morning stiffness, fatigue, fever, rheumatoid nodules","DMARDs, physical therapy, rest, joint protection",Rheumatologist,Medium
Rhinitis (Allergic),"sneezing, runny nose, nasal congestion, itchy eyes, postnasal drip","Antihistamines, nasal steroids, allergen avoidance, immunotherapy",Allergist,Low
Rhinovirus Infection,"common cold: sneezing, runny nose, sore throat, mild cough","Rest, hydration, OTC decongestants, hand hygiene, avoid touching face",General Practitioner,Low
Rickets,"bone pain, bowed legs, muscle weakness, delayed growth, fractures","Vitamin D and calcium supplementation, sun exposure, correct metabolic abnormalities",Pediatrician,Medium
Rickets (Nutritional),"bone pain, bowed legs, muscle weakness, delayed growth, fractures","Vitamin D and calcium supplementation, sun exposure, correct metabolic abnormalities",Pediatrician,Medium
Rift Valley Fever,"sudden fever, headache, muscle pain, joint pain, jaundice, hemorrhagic manifestations, encephalitis","Supportive care, no specific antiviral, avoid contact with animals/mosquitoes, vaccination (veterinary)",Infectious Disease Specialist,High
Rocky Mountain Spotted Fever,"fever, severe headache, myalgia, rash (starts wrists/ankles, spreads centrally, petechial later), confusion","Doxycycline (do not delay), tick avoidance, remove ticks promptly, supportive care",Infectious Disease Specialist,High
Rosacea,"facial redness, visible blood vessels, bumps, eye irritation, flushing","Avoid triggers, topical metronidazole, sunscreen, gentle skincare",Dermatologist,Low
Rotator Cuff Injury,"shoulder pain, weakness, limited range of motion, night pain, clicking","Rest, physical therapy, NSAIDs, steroid injection, surgery for tears",Orthopedist,Medium
Rotator Cuff Injury (Tendinitis),"shoulder pain (lateral deltoid), weakness (abduction), limited range of motion (especially overhead), night pain, clicking","Rest, physical therapy, NSAIDs, steroid injection, surgery for tears",Orthopedist,Medium
Rotavirus Infection,"severe watery diarrhea, vomiting, fever, dehydration, abdominal pain","Oral rehydration, rotavirus vaccine, hospitalization if severe, hand hygiene",Pediatrician,High
Rubella,"mild fever, rash (start face), lymphadenopathy, joint pain, conjunctivitis","Isolation, MMR vaccine, avoid pregnant women, supportive",General Practitioner,Low
SARS,"fever, dry cough, dyspnea, hypoxia, lymphopenia","Supportive care, isolation, ribavirin and steroids (historical), infection control",Pulmonologist,High
SARS (Severe Acute Respiratory Syndrome),"fever, dry cough, dyspnea, hypoxia, lymphopenia","Supportive care, isolation, ribavirin and steroids (historical), infection control",Pulmonologist,High
Salivary Gland Cancer (Parotid),"painless mass in front of ear (parotid), facial nerve weakness (if malignant), pain, trismus, ulceration","Surgical resection (superficial or total parotidectomy), radiation, chemotherapy for advanced",Oncologist,Medium
Salmonella Infection,"diarrhea (may be bloody), fever, abdominal cramps, nausea, vomiting","Fluids, antibiotics for severe cases (ciprofloxacin), avoid antidiarrheals, food safety",General Practitioner,Medium
Sarcoidosis,"cough, shortness of breath, erythema nodosum (shins), uveitis, fatigue, lymphadenopathy","Corticosteroids (if organ-threatening), methotrexate, hydroxychloroquine for skin/joints, monitor lung function",Pulmonologist,Medium
Scabies,"intense itching (worse at night), burrows (fine wavy lines) between fingers/wrists/elbows, papules, vesicles, crusting","Permethrin 5% cream (whole body), treat family/close contacts, wash bedding, antihistamines for itch",Dermatologist,Medium
Scarlet Fever,"fine red rash (sandpaper), strawberry tongue, fever, sore throat, flushing","Antibiotics (penicillin), cool baths, fever control, isolation",General Practitioner,Medium
Schistosomiasis,"swimmer's itch (cercarial dermatitis), fever, hematuria (S. haematobium), hepatosplenomegaly","Praziquantel, avoid freshwater in endemic areas, treat all family members",Infectious Disease Specialist,Medium
Schistosomiasis (Bilharzia),"swimmer's itch (cercarial dermatitis), fever, hematuria (S. haematobium), hepatosplenomegaly (S. mansoni, S. japonicum), diarrhea","Praziquantel, avoid freshwater in endemic areas, treat all family members",Infectious Disease Specialist,Medium
Schizophrenia,"hallucinations, delusions, disorganized speech, negative symptoms, cognitive deficits","Antipsychotics, CBT, family support, vocational rehab, monitor for metabolic syndrome",Psychiatrist,High
Schwannoma,"unilateral hearing loss, tinnitus, balance problems, facial numbness/weakness (if large), headache","Surgical resection, stereotactic radiosurgery, observation for small/asymptomatic",Neurosurgeon,Medium
Sciatica,"unilateral leg pain, tingling, numbness, weakness, worse with sitting","Physical therapy, NSAIDs, muscle relaxants, avoid heavy lifting",Orthopedist,Medium
Scleroderma,"skin thickening, Raynaud's, joint pain, digestive issues, lung fibrosis","Immunosuppressants, physical therapy, avoid cold, monitor BP",Rheumatologist,Medium
Scleroderma (Systemic Sclerosis),"skin thickening (sclerodactyly), Raynaud's phenomenon, joint pain, dysphagia (esophageal dysmotility), lung fibrosis","Immunosuppressants (methotrexate, mycophenolate), physical therapy, avoid cold, monitor BP",Rheumatologist,High
Scoliosis,"curved spine, uneven shoulders, rib hump, back pain, gait abnormality","Observation, bracing, physical therapy, surgery for severe curves",Orthopedist,Medium
Scoliosis (Idiopathic),"curved spine, uneven shoulders, rib hump, back pain (adults), gait abnormality","Observation, bracing (during growth), physical therapy, surgery (spinal fusion) for severe curves",Orthopedist,Medium
Scurvy,"bleeding gums, petechiae, poor wound healing, joint pain, corkscrew hairs","Vitamin C supplementation, citrus fruits, smoking cessation, treat underlying malnutrition",General Practitioner,Low
Seasonal Affective Disorder (SAD),"depression (fall/winter), increased sleep, increased appetite/carb cravings, low energy, social withdrawal","Light therapy (10,000 lux daily), CBT, vitamin D (if deficient), exercise, antidepressants if severe",Psychiatrist,Medium
